task_id,task_readable_name,tier,track,species,split_id,split_fold,model_id,model_readable_name,model_family,mode,calibration_method,intervention_id,seeds,auroc,auprc,accuracy,balanced_accuracy,mcc,f1,ece,brier,train_count,val_count,test_count,positive_count,negative_count,mean_abs_delta,flip_rate,positive_prob_drop,calibration_shift,sequence_length_summary,rc_mean_abs_delta,rc_flip_rate,rc_positive_prob_drop,rc_calibration_shift,mono_mean_abs_delta,mono_flip_rate,mono_positive_prob_drop,mono_calibration_shift,dinuc_mean_abs_delta,dinuc_flip_rate,dinuc_positive_prob_drop,dinuc_calibration_shift,motif_mean_abs_delta,motif_flip_rate,motif_positive_prob_drop,motif_calibration_shift,gc_only_auroc,gc_only_explainability_ratio,mono_retention,dinuc_retention,shortcut_score,task_label,model_label
human_enhancers_ensembl,Enhancers (Ensembl),Core,short_context,human,official,none,length_only,Length-only logistic regression,diagnostic_logistic_regression,frozen,none,standard,1,0.5,0.5,0.5,0.5,0.0,0.504654361664694,0.003232463577578,0.2500152133922333,10000.0,2000.0,30970.0,15485.0,15485.0,,,,,2-573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6621940822250412,1.3243881644500823,-0.0,-0.0,0.532051282051282,Enhancers (Ensembl),Length-only logistic regression
human_enhancers_ensembl,Enhancers (Ensembl),Core,short_context,human,official,none,repeat_only,Repeat-only logistic regression,diagnostic_logistic_regression,frozen,none,standard,1,0.4995653130838233,0.5190996311204906,0.4978366160800775,0.4978366160800774,-0.0043594303530039,0.4651626659330077,0.0270594345959404,0.2493385008421751,10000.0,2000.0,30970.0,15485.0,15485.0,,,,,2-573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6621940822250412,1.3255405547220809,-0.0,-0.0,0.5448717948717948,Enhancers (Ensembl),Repeat-only logistic regression
human_enhancers_ensembl,Enhancers (Ensembl),Core,short_context,human,official,none,kmer_logistic_regression,6-mer logistic regression,classical,frozen,none,standard,2,0.735919,0.7716277722866802,0.6725,0.7139812721989022,0.4279741423336616,0.7150302406382705,0.2457055763718007,0.2734987871521236,6000.0,2000.0,2000.0,1000.0,1000.0,,,,,9-488,0.3435115053220235,0.3565,-0.0267104752773601,-0.0060712480118731,0.4271199750843948,0.448,0.2028774627488171,0.1316629615645519,0.434075068381236,0.45,0.2160423827040129,0.1118535295943451,0.0183017501119826,0.0195350339037778,0.0054883263195769,0.001482121664933,0.6621940822250412,0.899819249435116,-0.2028774627488171,-0.2160423827040129,0.6666666666666666,Enhancers (Ensembl),6-mer logistic regression
human_enhancers_ensembl,Enhancers (Ensembl),Core,short_context,human,official,none,small_cnn,CNN,cnn,full,none,standard,6,0.838548,0.8799774246317112,0.7495,0.7934775589279948,0.5899642713727646,0.7825081610446137,0.0795540403276681,0.1719178157550824,6000.0,2000.0,2000.0,1000.0,1000.0,,,,,9-488,0.0891550555825233,0.1325,0.0014162063598632,0.0099939513057471,0.1650836169719696,0.3095,0.1784351468086242,-0.0111335453838109,0.1045274287462234,0.198,0.0648070573806762,-0.0415476201958953,0.002362482715398,0.0029706167258637,-0.0010881423950195,-0.0010910517671125,0.6621940822250412,0.7896913262270511,-0.1784351468086242,-0.0648070573806762,0.4743589743589744,Enhancers (Ensembl),CNN
human_enhancers_ensembl,Enhancers (Ensembl),Core,short_context,human,official,none,small_cnn_rc_aug,RC-aug CNN,cnn,full,none,standard,6,0.8839299999999999,0.8870534128229995,0.8055,0.8045527930255085,0.6105622228898323,0.7975652988194375,0.0399395995624363,0.1393566969178189,6000.0,2000.0,2000.0,1000.0,1000.0,,,,,9-488,0.0688883513212204,0.07,0.002810001373291,-0.0020066749379039,0.2593203783035278,0.4035,0.3199376463890075,0.1054037188924849,0.1523363590240478,0.2025,0.1265183091163635,-0.0045207061972468,0.0026361746713519,0.003035195350339,-0.0006323456764221,-0.0006901224038852,0.6621940822250412,0.7491476499553599,-0.3199376463890075,-0.1265183091163635,0.3846153846153846,Enhancers (Ensembl),RC-aug CNN
human_enhancers_ensembl,Enhancers (Ensembl),Core,short_context,human,official,none,dnabert2,DNABERT-2,foundation_model,frozen,none,standard,1,0.775216,0.7477479533499024,0.699,0.699,0.3980963509768156,0.6956521739130435,0.0271078423685805,0.1936904636088807,2000.0,400.0,1000.0,500.0,500.0,,,,,8-569,0.0962735484349267,0.146,0.0008291195375121,-0.0026150092492807,0.1640166986454155,0.315,0.0428744396754445,0.0229165626320681,0.154091893020729,0.299,0.0094690798395876,0.0218054481962486,0.006790875225561,0.009,-0.003458342495036,0.0003245848568308,0.6621940822250412,0.8542059016132809,-0.0428744396754445,-0.0094690798395876,0.6794871794871796,Enhancers (Ensembl),DNABERT-2
human_enhancers_ensembl,Enhancers (Ensembl),Core,short_context,human,official,none,caduceus_ph,Caduceus-Ph,foundation_model,frozen,none,standard,1,0.717767235241454,0.6861174493278257,0.6590248627704229,0.6590248627704229,0.3187096760820834,0.6476946687128845,0.0432965822595281,0.2168543161810468,10000.0,2000.0,30970.0,15485.0,15485.0,,,,,2-573,0.0461359751301055,0.1382951243138521,0.0001871188063019,0.0006074981989275,0.0650870816145168,0.1776557959315466,-0.0316648146657818,0.0020038531441855,0.0461606575119863,0.1380690991281885,-0.0094850690250444,-0.0083153443932386,0.001881747211874,0.0046819502744591,-0.0001629320231043,-0.000323152167085,0.6621940822250412,0.9225749654096174,0.0316648146657818,0.0094850690250444,0.7179487179487181,Enhancers (Ensembl),Caduceus-Ph
human_ocr_ensembl,Open chromatin,Core,short_context,human,official,none,gc_only,GC-only logistic regression,diagnostic_logistic_regression,frozen,none,standard,1,0.5666297080033011,0.5275592777162312,0.5450331883726253,0.5450331883726254,0.0903036394640217,0.5279344534821587,0.0191687374430995,0.2479146943422844,10000.0,2000.0,34952.0,17476.0,17476.0,,,,,84-593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5666297080033011,1.0,-0.0,-0.0,0.5092592592592592,Open chromatin,GC-only logistic regression
human_ocr_ensembl,Open chromatin,Core,short_context,human,official,none,cpg_only,CpG-only logistic regression,diagnostic_logistic_regression,frozen,none,standard,1,0.5363892817516576,0.515785329246701,0.5299267566948959,0.5299267566948959,0.0606633371995776,0.5653209164506059,0.0191763765244219,0.2494580811970149,10000.0,2000.0,34952.0,17476.0,17476.0,,,,,84-593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5666297080033011,1.0563777601090183,-0.0,-0.0,0.5277777777777778,Open chromatin,CpG-only logistic regression
human_ocr_ensembl,Open chromatin,Core,short_context,human,official,none,length_only,Length-only logistic regression,diagnostic_logistic_regression,frozen,none,standard,1,0.5,0.5,0.5,0.5,0.0,0.486,0.0020427050422141,0.2500062561995156,10000.0,2000.0,34952.0,17476.0,17476.0,,,,,84-593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5666297080033011,1.1332594160066023,-0.0,-0.0,0.5462962962962963,Open chromatin,Length-only logistic regression
