task_id,task_label,external_family,model_id,model_label,condition_label,external_biological_reliability,external_reliability_risk,matched_negative_shift,core_mean_auroc,core_mean_shortcut_score,core_mean_rc_delta,core_mean_ece,core_matched_negative_shift,core_gc_bin_auroc_gap,configuration_label,model_family,external_AUROC,external_AUPRC,external_ECE,external_Brier,worst_GC_bin_AUROC,full_GenomeCF_profile_score,predicted_external_reliability,external_metric,source_file
gue_human_tf_0,External TF binding (human_tf_0),TF binding,small_cnn_rc_aug,RC-aug CNN,Standard,0.6666666666666666,0.6172839506172839,-0.0627565561959654,0.8039419999999999,0.3773429299745089,0.038917607627809,0.0517154488125815,0.0240417894564205,0.1179073009657394,RC-aug CNN | Standard,CNN,0.8104250000000001,0.7621613684542242,0.1844242369756102,0.2262894821605873,0.7531249999999999,-0.5179486790078768,0.4618116279524408,external_biological_reliability,results/release/external_transfer_prediction.csv
gue_human_tf_1,External TF binding (human_tf_1),TF binding,caduceus_ph,Caduceus-Ph,Standard,0.35,0.3222222222222222,-0.0513650887573962,0.7416918124042852,0.6424501424501425,0.0348315164735973,0.0396484782153252,0.0682948139121478,0.1078033622448245,Caduceus-Ph | Standard,foundation model,0.8017000000000001,0.783544214154831,0.1880896808283954,0.2200638725756904,0.8165322580645161,-0.6286426592394324,0.35111764772088516,external_biological_reliability,results/release/external_transfer_prediction.csv
gue_human_tf_1,External TF binding (human_tf_1),TF binding,dnabert2,DNABERT-2,Standard,0.8958333333333334,0.6962962962962963,0.0139600591715975,0.79375,0.6372207227470386,0.0806979403719271,0.0288679478520667,0.0129999514080891,0.0912554010604467,DNABERT-2 | Standard,foundation model,0.92325,0.9056681772924104,0.1191953162287933,0.1257484731951383,0.8770161290322581,-0.23817350725074993,0.7415867997095676,external_biological_reliability,results/release/external_transfer_prediction.csv
gue_human_tf_1,External TF binding (human_tf_1),TF binding,dnabert2,DNABERT-2,Temperature-scaled,0.9722222222222222,0.8333333333333334,,0.8732950269749769,0.5789473684210527,0.0774539567818146,0.019902367608167,0.0332784659097183,0.0912554010604467,DNABERT-2 | Temperature-scaled,foundation model,0.923548,0.9211196108630568,0.079338784329242,0.1203427562837932,0.8770161290322581,-0.23645658271919567,0.7433037242411219,external_biological_reliability,results/release/external_transfer_prediction.csv
gue_human_tf_1,External TF binding (human_tf_1),TF binding,kmer_logistic_regression,6-mer logistic regression,Standard,0.425,0.6444444444444444,0.0138942307692307,0.7462655,0.6459551656920078,0.3394389041207518,0.2345065281072556,-0.0068479613695805,0.083379100691961,6-mer logistic regression | Standard,k-mer baseline,0.863125,0.8316295898490847,0.0971983883087984,0.156750581986942,0.8312854442344045,-0.27553740471650534,0.7042229022438122,external_biological_reliability,results/release/external_transfer_prediction.csv
gue_human_tf_1,External TF binding (human_tf_1),TF binding,small_cnn,CNN,Standard,0.275,0.3,-0.0907684911242603,0.76882725,0.4509484180536812,0.0411793540697544,0.061206236347556,0.0083796891723006,0.1201250804749815,CNN | Standard,CNN,0.794125,0.7827997954722505,0.136152174398303,0.2050158821887774,0.7108879492600423,-0.5181043538242232,0.4616559531360944,external_biological_reliability,results/release/external_transfer_prediction.csv
gue_human_tf_1,External TF binding (human_tf_1),TF binding,small_cnn_rc_aug,RC-aug CNN,Standard,0.7,0.7407407407407407,-0.0123048816568047,0.8039419999999999,0.3773429299745089,0.038917607627809,0.0517154488125815,0.0240417894564205,0.1179073009657394,RC-aug CNN | Standard,CNN,0.886275,0.8754005127537509,0.132435647547245,0.1554725569083832,0.8678646934460889,-0.5179486790078768,0.4618116279524408,external_biological_reliability,results/release/external_transfer_prediction.csv
mpra_bcl11a_enhancer,MPRA variant effect (BCL11A enhancer),Variant effect,caduceus_ph,Caduceus-Ph,Matched-negative head,0.6454545454545455,0.3863636363636363,,0.8194124252604111,0.6885964912280701,0.0422797515022792,0.114775501007667,0.0585016480260885,0.1078033622448245,Caduceus-Ph | Matched-negative head,foundation model,0.5826684397163121,0.0901295746818272,0.4215282328845379,0.2499650853523872,0.327639751552795,-0.5585247244465049,0.42123558251381266,external_biological_reliability,results/release/external_transfer_prediction.csv
mpra_bcl11a_enhancer,MPRA variant effect (BCL11A enhancer),Variant effect,caduceus_ph,Caduceus-Ph,Standard,0.3545454545454545,0.5965909090909091,,0.7416918124042852,0.6424501424501425,0.0348315164735973,0.0396484782153252,0.0682948139121478,0.1078033622448245,Caduceus-Ph | Standard,foundation model,0.4307771867612293,0.0736573091419369,0.0514741023939073,0.0749464799780915,0.3229813664596273,-0.6286426592394324,0.35111764772088516,external_biological_reliability,results/release/external_transfer_prediction.csv
mpra_bcl11a_enhancer,MPRA variant effect (BCL11A enhancer),Variant effect,caduceus_ph,Caduceus-Ph,Temperature-scaled,0.3545454545454545,0.6306818181818181,,0.8133026114109636,0.6403508771929824,0.0396011711240673,0.0340457959095675,0.0686169119019574,0.1078033622448245,Caduceus-Ph | Temperature-scaled,foundation model,0.4307771867612293,0.0736573091419369,0.0416039767671524,0.0740274237432844,0.3229813664596273,-0.5662181599499383,0.4135421470103793,external_biological_reliability,results/release/external_transfer_prediction.csv
