task_id,split_id,model_id,calibration_method,intervention_id,auroc,motif_positive_prob_drop,mono_positive_prob_drop,dinuc_positive_prob_drop,task_label,model_label
human_nontata_promoters,official,nucleotide_transformer_v2,none,standard,0.649203,0.0016108008595362,0.0153835684139426,0.018043946745654,Promoters,Nucleotide Transformer v2
human_nontata_promoters,official,repeat_only,none,standard,0.6122241000628059,0.0,0.0,0.0,Promoters,Repeat-only logistic regression
human_nontata_promoters,official,small_cnn,none,gc_balanced,0.8737899999999998,0.0073642134666442,0.0282326936721801,0.0576817989349365,Promoters,CNN
human_nontata_promoters,official,small_cnn,none,matched_negative_retraining,0.871173212394143,0.0031840205192565,-0.0373681783676147,0.0524963736534118,Promoters,CNN
human_nontata_promoters,official,small_cnn,none,standard,0.842903,0.003511905670166,-0.0022913217544555,0.0464639663696289,Promoters,CNN
human_nontata_promoters,official,small_cnn,temperature,standard,0.8750859999999999,0.0036099553108215,0.0001285672187805,0.0437431931495666,Promoters,CNN
human_nontata_promoters,official,small_cnn_rc_aug,none,gc_balanced,0.901146,0.0031901001930236,-0.0520316958427429,0.0385830998420715,Promoters,RC-aug CNN
human_nontata_promoters,official,small_cnn_rc_aug,none,matched_negative_retraining,0.8815732961683902,0.0042288899421691,-0.0618482232093811,0.0451120734214782,Promoters,RC-aug CNN
human_nontata_promoters,official,small_cnn_rc_aug,none,standard,0.8636599999999999,0.0048051476478576,-0.0348603129386901,0.0378893613815307,Promoters,RC-aug CNN
human_nontata_promoters,official,small_cnn_rc_aug,temperature,standard,0.8974350000000001,0.0048252940177917,-0.0329140424728393,0.0416962504386901,Promoters,RC-aug CNN
