dataset,split_scheme,model_family,seed,auroc,accuracy,ece,brier,auroc_ci_low,auroc_ci_high,reverse_complement_mean_abs_delta,reverse_complement_flip_rate,reverse_complement_positive_prob_drop,reverse_complement_ece,reverse_complement_brier,reverse_complement_mean_abs_delta_ci_low,reverse_complement_mean_abs_delta_ci_high,mono_shuffle_mean_abs_delta,mono_shuffle_flip_rate,mono_shuffle_positive_prob_drop,mono_shuffle_ece,mono_shuffle_brier,mono_shuffle_mean_abs_delta_ci_low,mono_shuffle_mean_abs_delta_ci_high,dinuc_shuffle_mean_abs_delta,dinuc_shuffle_flip_rate,dinuc_shuffle_positive_prob_drop,dinuc_shuffle_ece,dinuc_shuffle_brier,dinuc_shuffle_mean_abs_delta_ci_low,dinuc_shuffle_mean_abs_delta_ci_high
human_enhancers_cohn,official,small_cnn,23,0.7515110000000002,0.646,0.09816915743052958,0.21235861736473066,0.731661648406651,0.7726773955739601,0.054465219378471375,0.1085,0.0023818016052246094,0.09412244181334974,0.21132146908156965,0.052704069204628466,0.05674390075728297,0.0822356715798378,0.162,0.015940427780151367,0.08690553177893164,0.21779604107516723,0.07895605862140656,0.08553525321185589,0.07717125862836838,0.1525,0.016002774238586426,0.08695809981226922,0.21593379549005134,0.07460203506052494,0.07966937385499477
human_enhancers_cohn,official,small_cnn,37,0.7478389999999999,0.683,0.033682908296585067,0.2050158158397009,0.7247184025595906,0.7667388508267459,0.017635630443692207,0.044,0.00011742115020751953,0.03305299931019544,0.20516180181063823,0.017041275417432188,0.01828117803670466,0.06919325143098831,0.151,-0.0035392045974731445,0.03047183855623006,0.2099088239324928,0.06681386046111584,0.07158305328339339,0.06655090302228928,0.1415,0.004684329032897949,0.038049005657434465,0.2088068578693771,0.06428568102419377,0.06909645050764084
human_enhancers_cohn,official,small_cnn,49,0.750998,0.613,0.17340154632180926,0.23596835472576164,0.7270923432770156,0.7746410678312173,0.01744086667895317,0.023,0.0011051297187805176,0.17326676993072032,0.23678961474691906,0.016746961837634446,0.01806394043378532,0.06559251248836517,0.105,-0.0012093186378479004,0.17538797456026078,0.2402557109545505,0.06263389363884926,0.0682167461141944,0.06515918672084808,0.112,0.01890861988067627,0.153653764128685,0.23213272174716398,0.06313036736100912,0.06759811397641897
human_enhancers_cohn,official,small_cnn,61,0.751455,0.638,0.13445990224555135,0.22201016453079542,0.7300636034213114,0.7682333844516805,0.03351842984557152,0.048,0.0008516907691955566,0.13478958087787032,0.22319790030594092,0.03219529837369919,0.03472416149452329,0.09505864232778549,0.1535,0.019108951091766357,0.1213068900257349,0.22812735696197312,0.09199879299849271,0.09908400159329175,0.08916029334068298,0.1445,0.030636250972747803,0.10647324937582016,0.2208093879668062,0.08575971368700266,0.09262743201106786
human_enhancers_cohn,official,small_cnn_rc_aug,11,0.7598119999999999,0.669,0.07587587839365005,0.20490926429873615,0.739810935564414,0.7781182281397869,0.023639610037207603,0.0505,-0.0008789300918579102,0.07712667519599199,0.2057600105403554,0.022750982735306024,0.02450654045678675,0.07953833788633347,0.152,0.0016092658042907715,0.08330302566289903,0.21747833463022628,0.07641724348068238,0.08255622442811728,0.07120681554079056,0.134,0.005721747875213623,0.07556646660715341,0.21011349873464644,0.06842463463544846,0.07396478261798621
human_enhancers_cohn,official,small_cnn_rc_aug,23,0.767179,0.671,0.0996756546013057,0.2062938934412569,0.7493528475741902,0.7857500071786272,0.03491285815834999,0.055,-0.0007271766662597656,0.10104083582758905,0.20633640214025828,0.03327826764434576,0.03614041209220886,0.09242229163646698,0.1675,0.005930721759796143,0.1027635495811701,0.21919220262632805,0.08914877772331238,0.09662620518356561,0.08410124480724335,0.1375,0.013506114482879639,0.09590320017933844,0.21583287135994284,0.08114377986639738,0.08716102708131075
human_enhancers_cohn,official,small_cnn_rc_aug,37,0.7586919999999999,0.6635,0.10560037440806629,0.21131684083378366,0.7391754500195309,0.7795347730535253,0.03965570777654648,0.0565,0.0007701516151428223,0.10465640796720982,0.2116943435424176,0.038374743238091466,0.040934127569198606,0.08583994954824448,0.1485,0.004793345928192139,0.11006614083051681,0.22432928359922813,0.08282556366175413,0.08909013345837594,0.08350861072540283,0.145,0.028384387493133545,0.08314301402494312,0.21488748620540593,0.08038237653672695,0.08666866309940816
human_enhancers_cohn,official,small_cnn_rc_aug,49,0.760744,0.6765,0.04798917300254106,0.20138597051881624,0.7361758839460728,0.7843349167567336,0.024249110370874405,0.056,0.0005320310592651367,0.048350456126034266,0.2026029188460529,0.023517402494326232,0.02498639258556068,0.0858110636472702,0.1635,-0.009372174739837646,0.07205807537585496,0.2126053110774113,0.08226549942046404,0.08923700414597988,0.08141904324293137,0.1555,0.023258566856384277,0.042069090172648455,0.20799981575713203,0.07838148437440395,0.08410487975925207
human_enhancers_cohn,official,small_cnn_rc_aug,61,0.761108,0.6795,0.04072517013549806,0.19945506002378438,0.7412008761058404,0.7787949378945623,0.02861522138118744,0.057,0.0008370876312255859,0.044067843623459335,0.20044485159281425,0.027663499303162097,0.029730730410665273,0.08237992972135544,0.1575,0.01240086555480957,0.044459988169372085,0.21110838574067067,0.07978673987090587,0.08558089341968297,0.0749189555644989,0.141,0.014973044395446777,0.031122644998133175,0.20663659788112493,0.07168232817202806,0.07766472715884447
human_enhancers_ensembl,official,small_cnn,11,0.8313269999999999,0.679,0.168820029951632,0.2040781873155003,0.8159051417435941,0.8465438818062643,0.15251027047634125,0.2305,0.005614638328552246,0.1631766636446118,0.20199185863286856,0.14641896523535253,0.160394586622715,0.23475153744220734,0.343,0.19576424360275269,0.14501443096250297,0.2687915442246729,0.227021287381649,0.24240860827267172,0.1260991394519806,0.139,0.06120330095291138,0.14705829916894436,0.231205575785762,0.12067230921238661,0.1313432991504669
