tier,track,species,task_id,task_label,model_id,model_label,model_family,auroc,auprc,ece,brier,rc_mean_abs_delta,mono_positive_prob_drop,dinuc_positive_prob_drop,gc_only_auroc,gc_only_explainability_ratio,shortcut_score,worst_gc_bin_auroc,gc_bin_auroc_gap,matched_negative_gc_only_auroc_drop
core,short_context,human,human_nontata_promoters,Promoters,dnabert2,DNABERT-2,foundation_model,0.887888,0.9332961175799712,0.0420015626662993,0.1279405383264637,0.0777349317929724,-0.0538831078698363,0.0038541693706631,0.7959149681512145,0.8964137009974394,0.6403508771929824,0.7178393745557925,0.2621939610925163,0.08406132278119949
core,short_context,human,human_nontata_promoters,Promoters,gc_only,GC-only logistic regression,diagnostic_logistic_regression,0.7959149681512145,0.8393630217887045,0.0468308784576099,0.184770311891784,0.0,0.0,0.0,0.7959149681512145,1.0,0.4035087719298245,,,0.08406132278119949
core,short_context,human,human_nontata_promoters,Promoters,kmer_logistic_regression,6-mer logistic regression,classical,0.8984909999999999,0.9434076450604664,0.1102176388215763,0.133432542662848,0.2634432589752333,-0.0026594560109637,0.0575635769009338,0.7959149681512145,0.8858352149895933,0.6052631578947368,0.7669729952855808,0.2184823438748768,0.08406132278119949
core,short_context,human,human_nontata_promoters,Promoters,nucleotide_transformer_v2,Nucleotide Transformer v2,foundation_model,0.649203,0.647364397678401,0.1118157020479762,0.2489450458730116,0.270379676193636,0.0153835684139426,0.018043946745654,0.7959149681512145,1.2259878160624866,0.6491228070175438,,,
core,short_context,human,human_nontata_promoters,Promoters,repeat_only,Repeat-only logistic regression,diagnostic_logistic_regression,0.6122241000628059,0.6451800974061691,0.0429241668362805,0.2402921792051356,0.0,0.0,0.0,0.7959149681512145,1.3000386101585424,0.4210526315789473,,,
core,short_context,human,human_nontata_promoters,Promoters,small_cnn,CNN,cnn,0.842903,0.9239397103402608,0.0228868810981512,0.1519707324290783,0.0435033664107322,-0.0022913217544555,0.0464639663696289,0.7959149681512145,0.9442545205690508,0.4122807017543859,0.6644118769843856,0.3067914803916226,0.08406132278119949
core,short_context,human,human_nontata_promoters,Promoters,small_cnn_rc_aug,RC-aug CNN,cnn,0.8636599999999999,0.9345881615397388,0.0440954817906022,0.1440133262069258,0.0165502354502677,-0.0348603129386901,0.0378893613815307,0.7959149681512145,0.9215605309395072,0.4385964912280701,0.6518964752035208,0.33473454083926,0.08406132278119949
core,short_context,human,human_ocr_ensembl,Open chromatin,caduceus_ph,Caduceus-Ph,foundation_model,0.6234587665359695,0.5797241996138679,0.0565579938032962,0.2420725643710453,0.0228954475639314,-0.0170032457138196,-0.0179371611528099,0.5666297080033011,0.9088487297268764,0.6851851851851852,0.557653982129942,0.0764847876574927,
core,short_context,human,human_ocr_ensembl,Open chromatin,cpg_only,CpG-only logistic regression,diagnostic_logistic_regression,0.5363892817516576,0.515785329246701,0.0191763765244219,0.2494580811970149,0.0,0.0,0.0,0.5666297080033011,1.0563777601090183,0.5277777777777778,,,
core,short_context,human,human_ocr_ensembl,Open chromatin,dnabert2,DNABERT-2,foundation_model,0.682172,0.6596951240560474,0.0215315742956969,0.225036363403999,0.0896396177690308,0.0863265325473023,-0.033496682882641,0.5666297080033011,0.8306258656223081,0.6851851851851851,0.6901651052835788,0.020496946409792,
