task_id,task_label,model_id,model_label,configuration,metric,value,before_or_after,official_AUROC,matched_negative_AUROC,ECE,Brier,RC_delta,intervention,source_file
human_enhancers_cohn,Enhancers (Cohn),dnabert2,DNABERT-2,Temperature scaling,ECE,0.0194632762840244,after,0.8332256164636452,0.7831313536155416,0.0194632762840244,0.1668996498707682,0.0652434820903101,Temperature scaling,results/publication/table5_mitigation_summary.csv
human_enhancers_cohn,Enhancers (Cohn),dnabert2,DNABERT-2,Temperature scaling,Brier,0.1673960058282947,before,0.832364,0.7831267930428194,0.0177455895021824,0.1673960058282947,0.060183102628605,Temperature scaling,results/publication/table5_mitigation_summary.csv
human_enhancers_cohn,Enhancers (Cohn),dnabert2,DNABERT-2,Temperature scaling,Brier,0.1668996498707682,after,0.8332256164636452,0.7831313536155416,0.0194632762840244,0.1668996498707682,0.0652434820903101,Temperature scaling,results/publication/table5_mitigation_summary.csv
human_enhancers_cohn,Enhancers (Cohn),dnabert2,DNABERT-2,Temperature scaling,RC_delta,0.060183102628605,before,0.832364,0.7831267930428194,0.0177455895021824,0.1673960058282947,0.060183102628605,Temperature scaling,results/publication/table5_mitigation_summary.csv
human_enhancers_cohn,Enhancers (Cohn),dnabert2,DNABERT-2,Temperature scaling,RC_delta,0.0652434820903101,after,0.8332256164636452,0.7831313536155416,0.0194632762840244,0.1668996498707682,0.0652434820903101,Temperature scaling,results/publication/table5_mitigation_summary.csv
human_enhancers_cohn,Enhancers (Cohn),dnabert2,DNABERT-2,Matched-negative retraining,official_AUROC,0.832364,before,0.832364,0.7831267930428194,0.0177455895021824,0.1673960058282947,0.060183102628605,Matched-negative retraining,results/publication/table5_mitigation_summary.csv
human_enhancers_cohn,Enhancers (Cohn),dnabert2,DNABERT-2,Matched-negative retraining,official_AUROC,0.8198345866605418,after,0.8198345866605418,0.7887495768056783,0.0728320090766263,0.1795844910080493,0.0698605693478599,Matched-negative retraining,results/publication/table5_mitigation_summary.csv
human_enhancers_cohn,Enhancers (Cohn),dnabert2,DNABERT-2,Matched-negative retraining,matched_negative_AUROC,0.7831267930428194,before,0.832364,0.7831267930428194,0.0177455895021824,0.1673960058282947,0.060183102628605,Matched-negative retraining,results/publication/table5_mitigation_summary.csv
human_enhancers_cohn,Enhancers (Cohn),dnabert2,DNABERT-2,Matched-negative retraining,matched_negative_AUROC,0.7887495768056783,after,0.8198345866605418,0.7887495768056783,0.0728320090766263,0.1795844910080493,0.0698605693478599,Matched-negative retraining,results/publication/table5_mitigation_summary.csv
human_enhancers_cohn,Enhancers (Cohn),dnabert2,DNABERT-2,Matched-negative retraining,ECE,0.0177455895021824,before,0.832364,0.7831267930428194,0.0177455895021824,0.1673960058282947,0.060183102628605,Matched-negative retraining,results/publication/table5_mitigation_summary.csv
human_enhancers_cohn,Enhancers (Cohn),dnabert2,DNABERT-2,Matched-negative retraining,ECE,0.0728320090766263,after,0.8198345866605418,0.7887495768056783,0.0728320090766263,0.1795844910080493,0.0698605693478599,Matched-negative retraining,results/publication/table5_mitigation_summary.csv
human_enhancers_cohn,Enhancers (Cohn),dnabert2,DNABERT-2,Matched-negative retraining,Brier,0.1673960058282947,before,0.832364,0.7831267930428194,0.0177455895021824,0.1673960058282947,0.060183102628605,Matched-negative retraining,results/publication/table5_mitigation_summary.csv
human_enhancers_cohn,Enhancers (Cohn),dnabert2,DNABERT-2,Matched-negative retraining,Brier,0.1795844910080493,after,0.8198345866605418,0.7887495768056783,0.0728320090766263,0.1795844910080493,0.0698605693478599,Matched-negative retraining,results/publication/table5_mitigation_summary.csv
human_enhancers_cohn,Enhancers (Cohn),dnabert2,DNABERT-2,Matched-negative retraining,RC_delta,0.060183102628605,before,0.832364,0.7831267930428194,0.0177455895021824,0.1673960058282947,0.060183102628605,Matched-negative retraining,results/publication/table5_mitigation_summary.csv
human_enhancers_cohn,Enhancers (Cohn),dnabert2,DNABERT-2,Matched-negative retraining,RC_delta,0.0698605693478599,after,0.8198345866605418,0.7887495768056783,0.0728320090766263,0.1795844910080493,0.0698605693478599,Matched-negative retraining,results/publication/table5_mitigation_summary.csv
human_enhancers_cohn,Enhancers (Cohn),caduceus_ph,Caduceus-Ph,Temperature scaling,official_AUROC,0.7727349710937637,before,0.7727349710937637,0.6933720391822946,0.0342800785565275,0.1945990957555004,0.0298684137850311,Temperature scaling,results/publication/table5_mitigation_summary.csv
human_enhancers_cohn,Enhancers (Cohn),caduceus_ph,Caduceus-Ph,Temperature scaling,official_AUROC,0.7740950208622719,after,0.7740950208622719,0.6962853062102661,0.0368955751171562,0.1941308604119445,0.0312608349181643,Temperature scaling,results/publication/table5_mitigation_summary.csv
human_enhancers_cohn,Enhancers (Cohn),caduceus_ph,Caduceus-Ph,Temperature scaling,matched_negative_AUROC,0.6933720391822946,before,0.7727349710937637,0.6933720391822946,0.0342800785565275,0.1945990957555004,0.0298684137850311,Temperature scaling,results/publication/table5_mitigation_summary.csv
human_enhancers_cohn,Enhancers (Cohn),caduceus_ph,Caduceus-Ph,Temperature scaling,matched_negative_AUROC,0.6962853062102661,after,0.7740950208622719,0.6962853062102661,0.0368955751171562,0.1941308604119445,0.0312608349181643,Temperature scaling,results/publication/table5_mitigation_summary.csv
human_enhancers_cohn,Enhancers (Cohn),caduceus_ph,Caduceus-Ph,Temperature scaling,ECE,0.0342800785565275,before,0.7727349710937637,0.6933720391822946,0.0342800785565275,0.1945990957555004,0.0298684137850311,Temperature scaling,results/publication/table5_mitigation_summary.csv
human_enhancers_cohn,Enhancers (Cohn),caduceus_ph,Caduceus-Ph,Temperature scaling,ECE,0.0368955751171562,after,0.7740950208622719,0.6962853062102661,0.0368955751171562,0.1941308604119445,0.0312608349181643,Temperature scaling,results/publication/table5_mitigation_summary.csv
human_enhancers_cohn,Enhancers (Cohn),caduceus_ph,Caduceus-Ph,Temperature scaling,Brier,0.1945990957555004,before,0.7727349710937637,0.6933720391822946,0.0342800785565275,0.1945990957555004,0.0298684137850311,Temperature scaling,results/publication/table5_mitigation_summary.csv
human_enhancers_cohn,Enhancers (Cohn),caduceus_ph,Caduceus-Ph,Temperature scaling,Brier,0.1941308604119445,after,0.7740950208622719,0.6962853062102661,0.0368955751171562,0.1941308604119445,0.0312608349181643,Temperature scaling,results/publication/table5_mitigation_summary.csv
human_enhancers_cohn,Enhancers (Cohn),caduceus_ph,Caduceus-Ph,Temperature scaling,RC_delta,0.0298684137850311,before,0.7727349710937637,0.6933720391822946,0.0342800785565275,0.1945990957555004,0.0298684137850311,Temperature scaling,results/publication/table5_mitigation_summary.csv
human_enhancers_cohn,Enhancers (Cohn),caduceus_ph,Caduceus-Ph,Temperature scaling,RC_delta,0.0312608349181643,after,0.7740950208622719,0.6962853062102661,0.0368955751171562,0.1941308604119445,0.0312608349181643,Temperature scaling,results/publication/table5_mitigation_summary.csv
human_enhancers_cohn,Enhancers (Cohn),caduceus_ph,Caduceus-Ph,Matched-negative retraining,official_AUROC,0.7727349710937637,before,0.7727349710937637,0.6933720391822946,0.0342800785565275,0.1945990957555004,0.0298684137850311,Matched-negative retraining,results/publication/table5_mitigation_summary.csv
human_enhancers_cohn,Enhancers (Cohn),caduceus_ph,Caduceus-Ph,Matched-negative retraining,official_AUROC,0.7767910083923043,after,0.7767910083923043,0.7106389040460865,0.0894867823420158,0.2063495786157846,0.0365714827273417,Matched-negative retraining,results/publication/table5_mitigation_summary.csv
human_enhancers_cohn,Enhancers (Cohn),caduceus_ph,Caduceus-Ph,Matched-negative retraining,matched_negative_AUROC,0.6933720391822946,before,0.7727349710937637,0.6933720391822946,0.0342800785565275,0.1945990957555004,0.0298684137850311,Matched-negative retraining,results/publication/table5_mitigation_summary.csv
human_enhancers_cohn,Enhancers (Cohn),caduceus_ph,Caduceus-Ph,Matched-negative retraining,matched_negative_AUROC,0.7106389040460865,after,0.7767910083923043,0.7106389040460865,0.0894867823420158,0.2063495786157846,0.0365714827273417,Matched-negative retraining,results/publication/table5_mitigation_summary.csv
human_enhancers_cohn,Enhancers (Cohn),caduceus_ph,Caduceus-Ph,Matched-negative retraining,ECE,0.0342800785565275,before,0.7727349710937637,0.6933720391822946,0.0342800785565275,0.1945990957555004,0.0298684137850311,Matched-negative retraining,results/publication/table5_mitigation_summary.csv
human_enhancers_cohn,Enhancers (Cohn),caduceus_ph,Caduceus-Ph,Matched-negative retraining,ECE,0.0894867823420158,after,0.7767910083923043,0.7106389040460865,0.0894867823420158,0.2063495786157846,0.0365714827273417,Matched-negative retraining,results/publication/table5_mitigation_summary.csv
human_enhancers_cohn,Enhancers (Cohn),caduceus_ph,Caduceus-Ph,Matched-negative retraining,Brier,0.1945990957555004,before,0.7727349710937637,0.6933720391822946,0.0342800785565275,0.1945990957555004,0.0298684137850311,Matched-negative retraining,results/publication/table5_mitigation_summary.csv
human_enhancers_cohn,Enhancers (Cohn),caduceus_ph,Caduceus-Ph,Matched-negative retraining,Brier,0.2063495786157846,after,0.7767910083923043,0.7106389040460865,0.0894867823420158,0.2063495786157846,0.0365714827273417,Matched-negative retraining,results/publication/table5_mitigation_summary.csv
human_enhancers_cohn,Enhancers (Cohn),caduceus_ph,Caduceus-Ph,Matched-negative retraining,RC_delta,0.0298684137850311,before,0.7727349710937637,0.6933720391822946,0.0342800785565275,0.1945990957555004,0.0298684137850311,Matched-negative retraining,results/publication/table5_mitigation_summary.csv
human_enhancers_cohn,Enhancers (Cohn),caduceus_ph,Caduceus-Ph,Matched-negative retraining,RC_delta,0.0365714827273417,after,0.7767910083923043,0.7106389040460865,0.0894867823420158,0.2063495786157846,0.0365714827273417,Matched-negative retraining,results/publication/table5_mitigation_summary.csv
